,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一.基础价格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
层数,工程费,0.2㎡以下样品打包价,单  价 （0.5平米以下样品包5W点飞针测试）,,,,,,,交  期(工作日),,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.21-0.5m2,0.5-1m2,1-3m2,3-5m2,5.01-10m2,10-30m2,30.01m2以上,0-0.5m2,0.5-1m2,1-3m2,3-5m2,5-10m2,10-20m2,≥30m2,,,,,,,,,,,,,,,,,,,
1层,180,300,510,450,400,340,280,290,280,5,6,7,8,10,12,≥15,,,,,,,,,,,,,,,,,,,
2层,210,330,560,510,470,440,400,370,320,5,6,7,9,11,13,≥15,,,,,,,,,,,,,,,,,,,
4层,500,610,850,810,770,730,630,560,540,7,8,9,11,13,15,≥17,,,,,,,,,,,,,,,,,,,
6层,1100,1300,1300,1200,1150,1100,1000,950,930,9,10,11,13,15,17,≥19,,,,,,,,,,,,,,,,,,,
8层,1350,最少起订量5片,2000,1900,1900,1700,1700,1700,1600,10,11,12,14,16,18,≥20,,,,,,,,,,,,,,,,,,,
10层,1000,最少起订量5片,2500,2500,2400,2400,2300,2000,1850,11,11,13,15,17,18,≥20天,,,,,,,,,,,,,,,,,,,
12层,1600,最少起订量5片,2600,2600,2500,2500,2400,2200,2100,12,12,14,16,18,19,评估,,,,,,,,,,,,,,,,,,,
14层,2000,最少起订量5片,4000,4000,3800,3600,3600,3400,3400,13,13,15,17,19,20,评估,,,,,,,,,,,,,,,,,,,
16层,2500,最少起订量5片,4500,4500,4300,4300,4300,4200,4100,15,15,17,19,21,22,评估,,,,,,,,,,,,,,,,,,,
18层,3000,最少起订量5片,5500,5500,5300,5000,5000,4800,4600,17,17,19,21,23,24,评估,,,,,,,,,,,,,,,,,,,
20层,3500,最少起订量5片,6500,6500,6200,6000,6000,5800,5700,18,18,20,22,24,25,评估,,,,,,,,,,,,,,,,,,,
